,id,condition,turn_id,seeker_post,response_post,label,value,Empathetic Intent,Empintent_score
197,197,framework,6,Can't you give me steps?,It's about you and your skills. You've already proven that you're motivated and determined. What do you think would be the first steps you could take to get less procrastinated?,ER_label,0,questioning,0.9998557567596436
198,198,framework,7,I could reduce my distractions,So you think reducing distractions might be a first step.,ER_label,0,suggesting,0.9833351373672485
199,199,framework,8,==References====External links==,That sounds logical. Fewer distractions could in fact lead to less procrastination. What would be the best result if you achieved this goal?,ER_label,0,questioning,0.9996747970581055
200,200,framework,9,A more efficient use of my time,That sounds like a very positive result. Now let's go to the other end of the spectrum. What would be the negative consequences if you don't change your behavior and continue to procrastinate?,ER_label,0,questioning,0.9994909763336182
201,201,framework,10,No change in my situation,"Let me sum up our conversation so far. You have expressed the desire to procrastinate less to become more efficient and make more sense of your time. You are motivated to make this change, even though you have admitted that it is a bit difficult for you. You have indicated a 7 on the scale of confidence, which means that you feel quite up to this challenge. You have suggested reducing your distractions to get closer to your goal and believe that this can lead to a more efficient use of your time. On the other hand, you see failure to achieve this goal as a mistake and a failure to improve your current situation. Have I forgotten anything else?",ER_label,0,questioning,0.9998040795326233
207,207,framework,4,5,A 5th that sounds like you're not too confident about this change. Please tell me more about your attitude. Why didn't you give a higher or lower value?,ER_label,0,questioning,0.9998044371604919
208,208,framework,5,now in summer in it hard to knock out all the invitations to grill or bring something healthy yourself. Even the whole restaurant visits do not make it easy,"This is a legitimate challenge. Nevertheless, you have decided to eat healthier and have already started to deal with this issue, which shows that you are determined. There are situations or times when you have already managed to make healthier choices.",ER_label,1,agreeing,0.8546096086502075
209,209,framework,6,I'm home at night when I'm cooking.,"It's good to hear that you've already identified times when you're making healthier choices, but what do you like about the moments when you don't eat healthy?",ER_label,1,questioning,0.9998663663864136
210,210,framework,7,they are social events in which the focus is on sociality.,"So you seem to enjoy the social aspect of these events. What if you find ways to continue enjoying these events, but at the same time make healthier decisions?",ER_label,0,questioning,0.9998382329940796
211,211,framework,8,yes but which way?,"There may be many ways, but to find the right one for you, it is important to know more about your situation. How do you see the impact of your current eating habits on your overall well-being?",ER_label,0,questioning,0.999864935874939
